truth_table,minimum_gates,minimum_formula_count,all_formula_count_at_minimum,minimum_probability,boundary_surprisal_bits,canonical_baseline_nand_gates,compression_gain,triad_score,witness
0,5,36,30618,0.0011757789535567313,9.732167425663386,5,0,0.0,"NAND(NAND(x0, NAND(x0, x0)), NAND(x0, NAND(x0, x0)))"
1,10,1440,2975361012,4.839748837846235e-07,20.97856448443806,19,9,188.80708035994255,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x0), NAND(NAND(x0, x0), NAND(NAND(x1, x1), NAND(x2, x2)))))"
2,8,864,28146690,3.069632699262329e-05,14.991574435992689,17,9,134.9241699239342,"NAND(NAND(x0, NAND(x0, x0)), NAND(x0, NAND(x0, NAND(NAND(x0, x1), NAND(x0, x2)))))"
3,6,24,288684,8.31358856050214e-05,13.55416912368539,75,69,935.237669534292,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x1, x1), NAND(x2, x2)))"
4,8,864,28146690,3.069632699262329e-05,14.991574435992689,15,7,104.94102105194882,"NAND(NAND(x0, NAND(x0, x0)), NAND(x1, NAND(x1, NAND(NAND(x0, x0), NAND(x1, x2)))))"
5,6,24,288684,8.31358856050214e-05,13.55416912368539,71,65,881.0209930395504,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x0), NAND(x2, x2)))"
6,10,5184,2975361012,1.7423095816246448e-06,19.13056757788311,67,57,1090.4423519393372,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x1), NAND(NAND(x0, NAND(x0, x2)), NAND(x1, NAND(x1, x2)))))"
7,6,48,288684,0.0001662717712100428,12.55416912368539,175,169,2121.654581902831,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x1), NAND(x2, x2)))"
8,7,960,2814669,0.00034107029991803654,11.517643247660276,13,6,69.10585948596166,"NAND(NAND(x0, NAND(x0, x0)), NAND(x0, NAND(x0, NAND(x1, NAND(x0, x2)))))"
9,10,192,2975361012,6.452998450461648e-08,23.88545508004658,67,57,1361.470939562655,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x2, x2), NAND(NAND(x0, x1), NAND(NAND(x0, x0), NAND(x1, x1)))))"
10,5,108,30618,0.003527336860670194,8.147204924942228,63,58,472.5378856466492,"NAND(NAND(x0, NAND(x0, x0)), NAND(x0, NAND(x0, x2)))"
11,6,24,288684,8.31358856050214e-05,13.55416912368539,167,161,2182.221228913348,"NAND(NAND(x0, NAND(x0, x2)), NAND(NAND(x1, x1), NAND(x2, x2)))"
12,5,108,30618,0.003527336860670194,8.147204924942228,59,54,439.9490659468803,"NAND(NAND(x0, NAND(x0, x0)), NAND(x1, NAND(x1, x2)))"
13,6,24,288684,8.31358856050214e-05,13.55416912368539,159,153,2073.7878759238647,"NAND(NAND(x1, NAND(x1, x2)), NAND(NAND(x0, x0), NAND(x2, x2)))"
14,5,72,30618,0.0023515579071134627,8.732167425663386,155,150,1309.825113849508,"NAND(NAND(x0, NAND(x0, x2)), NAND(x1, NAND(x1, x2)))"
15,1,1,9,0.1111111111111111,3.1699250014423126,271,270,855.8797503894244,"NAND(x2, x2)"
16,8,864,28146690,3.069632699262329e-05,14.991574435992689,15,7,104.94102105194882,"NAND(NAND(x0, NAND(x0, x0)), NAND(x2, NAND(x2, NAND(NAND(x0, x0), NAND(x1, x1)))))"
17,6,24,288684,8.31358856050214e-05,13.55416912368539,71,65,881.0209930395504,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x0), NAND(x1, x1)))"
18,10,5184,2975361012,1.7423095816246448e-06,19.13056757788311,67,57,1090.4423519393372,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x2), NAND(NAND(x0, NAND(x0, x1)), NAND(x2, NAND(x1, x1)))))"
19,6,48,288684,0.0001662717712100428,12.55416912368539,175,169,2121.654581902831,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x2), NAND(x1, x1)))"
20,10,5184,2975361012,1.7423095816246448e-06,19.13056757788311,63,53,1013.9200816278048,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x0), NAND(NAND(x1, NAND(x1, x2)), NAND(x2, NAND(x1, x1)))))"
21,6,48,288684,0.0001662717712100428,12.55416912368539,167,161,2021.2212289133479,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x0), NAND(x1, x2)))"
22,13,186624,3553267670100,5.252179608375741e-08,24.182508506294912,163,150,3627.376275944237,"NAND(NAND(x0, NAND(x0, NAND(NAND(x0, x1), NAND(x0, x2)))), NAND(NAND(x0, x0), NAND(NAND(x1, NAND(x1, x2)), NAND(x2, NAND(x1, x1)))))"
23,7,144,2814669,5.116054498770548e-05,14.254608841826483,279,272,3877.2536049768037,"NAND(NAND(NAND(x0, x0), NAND(x1, x1)), NAND(NAND(x0, x1), NAND(x2, x2)))"
24,9,2304,287096238,8.025183527483213e-06,16.92703418379798,59,50,846.3517091898989,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x2), NAND(NAND(x0, x1), NAND(x2, NAND(x1, x1)))))"
25,8,320,28146690,1.1369009997267885e-05,16.424533843268794,159,151,2480.104610333588,"NAND(NAND(NAND(x0, x0), NAND(x1, x1)), NAND(x0, NAND(x0, NAND(x1, NAND(x0, x2)))))"
26,8,864,28146690,3.069632699262329e-05,14.991574435992689,155,147,2203.7614420909254,"NAND(NAND(x0, NAND(x0, x2)), NAND(x2, NAND(x2, NAND(NAND(x0, x0), NAND(x1, x1)))))"
27,6,72,288684,0.00024940765681506424,11.969206622964235,271,265,3171.839755085522,"NAND(NAND(x0, NAND(x0, x2)), NAND(NAND(x0, x0), NAND(x1, x1)))"
28,8,864,28146690,3.069632699262329e-05,14.991574435992689,151,143,2143.7951443469547,"NAND(NAND(x1, NAND(x1, x2)), NAND(x2, NAND(x2, NAND(NAND(x0, x0), NAND(x1, x1)))))"
29,6,72,288684,0.00024940765681506424,11.969206622964235,263,257,3076.086102101808,"NAND(NAND(x1, NAND(x1, x2)), NAND(NAND(x0, x0), NAND(x1, x1)))"
30,9,1152,287096238,4.012591763741606e-06,17.92703418379798,255,246,4410.050409214303,"NAND(NAND(x0, NAND(x0, x2)), NAND(NAND(x1, x2), NAND(NAND(x1, x1), NAND(x2, NAND(x0, x0)))))"
31,4,36,3402,0.010582010582010581,6.562242424221073,231,227,1489.6290302981836,"NAND(x2, NAND(NAND(x0, x0), NAND(x1, x1)))"
32,7,960,2814669,0.00034107029991803654,11.517643247660276,13,6,69.10585948596166,"NAND(NAND(x0, NAND(x0, x0)), NAND(x0, NAND(x0, NAND(x2, NAND(x0, x1)))))"
33,10,192,2975361012,6.452998450461648e-08,23.88545508004658,67,57,1361.470939562655,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x1, x1), NAND(NAND(x0, x2), NAND(NAND(x0, x0), NAND(x2, x2)))))"
