length,total_sequences,semantic_states,correct_sequences,correct_probability,correct_surprisal_bits,padded_optimum_lower_bound,compression_gain,triad_score_for_correct_sequence
0,1,1,0,0.0,inf,0,6,0.0
1,6,6,0,0.0,inf,0,5,0.0
2,36,33,0,0.0,inf,0,4,0.0
3,216,109,0,0.0,inf,0,3,0.0
4,1296,223,0,0.0,inf,0,2,0.0
5,7776,260,12,0.0015432098765432098,9.339850002884624,12,1,9.339850002884624
6,46656,260,900,0.019290123456790122,5.6959938131099,72,0,0.0
7,279936,260,16800,0.06001371742112483,4.058563892494608,432,0,0.0
8,1679616,260,204120,0.12152777777777778,3.040641984497346,2592,0,0.0
9,10077696,260,1988532,0.19732010173754,2.341390158593715,15552,0,0.0
10,60466176,260,16945740,0.2802515574988569,1.8352057040524385,93312,0,0.0
11,362797056,260,132191400,0.3643673448110891,1.4565344266094769,559872,0,0.0
12,2176782336,260,969582240,0.4454199319632847,1.1667619765883652,3359232,0,0.0
