project,headline,source_i,controls,headline_density,control_density,isolation_lift,median_distance,maximum_distance
flt,flt_pinned,5160,20,0.8639845848083496,0.7837857604026794,-0.08019882440567017,4.746091724324744,5.233024279709585
flt,flt_mathlib,5161,20,0.7316611409187317,0.753243625164032,0.021582484245300293,6.316581015239613,6.564583453072015
flt,fermat_last_theorem,7018,20,0.8639845848083496,0.7703989148139954,-0.09358566999435425,4.423936796394973,4.846420219847687
formalized-logic,incomplete,11565,20,0.7467712163925171,0.765400767326355,0.01862955093383789,4.128530608754074,4.490997828252875
formalized-logic,incomplete_of_RE,11566,20,0.7491742372512817,0.7707604765892029,0.021586239337921143,3.3692442715460107,3.6252136035651867
formalized-logic,first_incompleteness,11579,20,0.6830998659133911,0.7148569226264954,0.03175705671310425,3.2206011349118975,3.833866803822846
formalized-logic,consistent_unprovable,11616,20,0.7058063745498657,0.7154577970504761,0.009651422500610352,4.694886887057434,6.296014868383954
formalized-logic,craig_consistent_unprovable_of_RE,11617,20,0.7132378220558167,0.7183619737625122,0.005124151706695557,5.269624908599472,6.095677211410104
navier-stokes-euler,exists_compact_smooth_euler_singularity,2685,20,0.6682870984077454,0.7117288112640381,0.043441712856292725,2.7563565824221588,3.168189962806631
navier-stokes-euler,euler_breakdown_R3,3140,20,0.7416073083877563,0.745141327381134,0.0035340189933776855,4.955282534323473,5.842410803023638
navier-stokes-euler,exists_compact_smooth_euler_singularity,3141,20,0.7201122045516968,0.6883906126022339,-0.03172159194946289,3.982812148389961,4.498743880086664
navier-stokes-euler,navier_stokes_breakdown_R3,3679,20,0.6746314764022827,0.6960562467575073,0.02142477035522461,2.9177018289755523,3.352573864146203
navier-stokes-euler,navier_stokes_breakdown_R3,3680,20,0.7967141270637512,0.72198885679245,-0.07472527027130127,3.2183906360815913,3.5560821942594565
navier-stokes-euler,navier_stokes_breakdown_periodic,3681,20,0.7967141270637512,0.7104145884513855,-0.08629953861236572,2.9792839217685607,3.133375121893214
navier-stokes-euler,navier_stokes_breakdown_periodic,3682,20,0.6650524735450745,0.6960563063621521,0.031003832817077637,2.9677861379579134,3.3650475261143455
pfr,approx_hom_pfr,7022,2,0.7351147532463074,0.744441032409668,0.009326279163360596,10.406504913065,10.916008123344627
pfr,homomorphism_pfr,7475,9,0.7842649221420288,0.7565972805023193,-0.027667641639709473,8.171821207696663,11.11304641436486
pnt,chebyshev_asymptotic,7960,20,0.7247512936592102,0.7698755264282227,0.04512423276901245,4.947445270269388,6.285188222198901
pnt,MediumPNT,10179,20,0.755963921546936,0.748275101184845,-0.0076888203620910645,5.421860436064416,5.740181398633769
pnt,WeakPNT,10364,20,0.7995039224624634,0.7536742091178894,-0.045829713344573975,3.4610452726338705,3.7403854253035407
schoenflies,jordan_schoenflies,14123,20,0.7492779493331909,0.7699536085128784,0.0206756591796875,5.243075040809665,5.660584508090476
sphere-eversion,sphere_eversion,17968,20,0.736009418964386,0.7675285339355469,0.03151911497116089,6.520071633392897,8.022756565114152
ten-proofs,quantitativeCompactnessCounterexample,49,20,0.7001981735229492,0.7150577306747437,0.014859557151794434,5.775801584083479,6.47281216075774
ten-proofs,twoDegenerateExtremalCounterexample,95,20,0.7022308111190796,0.724043071269989,0.021812260150909424,6.291786770348953,6.578432098340416
ten-proofs,exists_infinite_pairwise_nonisomorphic_propertyT_icc_groups_with_isomorphic_factors,363,14,0.7675899267196655,0.7189330458641052,-0.0486568808555603,7.061129179683006,8.70824530310076
ten-proofs,ehrhart_volume_inequality_for_sets,618,20,0.7260192036628723,0.7364198565483093,0.010400652885437012,3.0555555499252245,3.5059093447624083
ten-proofs,gapCVP400IsNPHard,1138,20,0.769421398639679,0.7476930022239685,-0.02172839641571045,5.618469137162134,6.0528635569192115
ten-proofs,binaryRate_lt_mrrw,1244,20,0.8006660342216492,0.7689750790596008,-0.03169095516204834,3.069912632002543,3.401313053810825
ten-proofs,strict_hierarchy,1727,20,0.7050029039382935,0.7368229031562805,0.03181999921798706,4.900809006570498,5.184085854608705
ten-proofs,erdos_problem_183_explicit,1745,20,0.7816232442855835,0.7291656136512756,-0.05245763063430786,13.493140877968575,13.610730581530046
ten-proofs,exists_finitelyPresented_nonsofic_group,1878,20,0.720284640789032,0.7367795705795288,0.016494929790496826,4.179051862588821,4.549701960345869
ten-proofs,permanent_rational_formula_logarithmic_lower_bound,2013,20,0.7384464740753174,0.7523159980773926,0.013869524002075195,4.009645471427975,4.726116642997482
ten-proofs,distributionUniformExponential,2252,20,0.7320218682289124,0.7061082720756531,-0.025913596153259277,6.835954305511182,7.345180342437353
ten-proofs,sharpFullCohnElkiesManuscriptConclusions,2511,20,0.7807543277740479,0.7334649562835693,-0.047289371490478516,3.256643423018767,4.180485473182333
