project,name,statement_density,control_density,difference,match_distance
ten-proofs,edgeFinset_card_eq_natCard,0.773163,0.6804331,0.092729926,0.0
ten-proofs,maximum_booleanCut_degree,0.6305071,0.6935378,-0.06303066,0.23627400338242727
ten-proofs,six_cycle_mem_proposedFamily,0.65822566,0.72086495,-0.062639296,0.0
ten-proofs,standardSymplecticForm_smul_left,0.7098485,0.7530568,-0.0432083,0.0
ten-proofs,standardSymplecticForm_nondegenerate_right,0.64943075,0.7123869,-0.062956154,0.0
ten-proofs,standardSymplecticBilin_nondegenerate,0.6538837,0.6678549,-0.0139712095,0.0
ten-proofs,symplectic_triangle_lines_eq,0.6641348,0.7196442,-0.05550939,0.007353438227914357
ten-proofs,symplecticQuadrangle_incidence_adj,0.6470398,0.74188983,-0.09485006,0.01375583343949322
ten-proofs,symplecticQuadrangle_vertex_card,0.6838886,0.70239353,-0.018504918,0.0
ten-proofs,quadrangle_rpow_density,0.673735,0.6577818,0.015953243,0.013254097764089218
ten-proofs,jTheta_quotient_injective,0.6895094,0.69515467,-0.005645275,0.011566564887398958
ten-proofs,kQuotient_not_acyclic,0.6015878,0.7312295,-0.12964171,0.014391421016087917
ten-proofs,six_cycle_not_acyclic,0.6928467,0.72086495,-0.028018236,0.0
ten-proofs,proposedFamily_isCyclic,0.70281917,0.7700378,-0.0672186,0.0
ten-proofs,subdivisionPoint_base_center_related,0.609956,0.6897185,-0.07976246,0.2690023381879563
ten-proofs,symplecticPoint_mem_span_of_two_centers,0.6310697,0.6897185,-0.058648765,0.7761869531521043
ten-proofs,symplecticPoint_point_class_avoidance,0.6089095,0.6897185,-0.080809,2.060017957352444
ten-proofs,symplecticQuadrangle_no_point_jTemplate_of_bases,0.5739963,0.6897185,-0.11572218,0.5142372270033301
ten-proofs,quadrangle_manuscript_scaled_density_of_gap,0.60899293,0.62876713,-0.019774199,0.07621215249547804
ten-proofs,four_path_endpoint_witness_count_lower,0.60680926,0.6935378,-0.08672851,0.1779566150310278
ten-proofs,symmetricQuadratic_char_two_eq_square,0.7286966,0.7130847,0.015611887,0.0
ten-proofs,not_compactnessConjecture_of_bounds,0.61583036,0.71926826,-0.1034379,0.011039478611933795
ten-proofs,mem_thetaBaseExtensions,0.6160049,0.6695756,-0.053570688,0.014731761234979117
ten-proofs,gluedJVertex_map_relation,0.63170636,0.65875,-0.02704364,0.44786970946738036
ten-proofs,thetaBaseExtensions_commonNeighborIndependent,0.62932515,0.6586042,-0.029279053,0.008600770000728083
ten-proofs,gluedKHom_injOn_marked_copy,0.6161161,0.6695756,-0.053459466,0.10742529210501435
ten-proofs,gammaGood_of_independentThetaTriple_fiber,0.5623384,0.659309,-0.09697062,0.0
ten-proofs,orderedThetaWitness_card,0.70501643,0.71571255,-0.010696113,0.0
ten-proofs,mem_commonSecondNeighborFinset,0.6786996,0.7968601,-0.118160486,0.0
ten-proofs,fourPathTripleToIndependentThetaTriple_center_mem,0.5990776,0.67288464,-0.07380706,0.5909765772314403
ten-proofs,gammaBad_card_mul_heavyTripleLower_le_two_orderedTheta,0.5748625,0.78282815,-0.20796567,1.233536909118976
ten-proofs,symmetricGraphLine_coordinateCenter_intersection_iff,0.60733855,0.73156357,-0.12422502,0.03206370091409966
ten-proofs,symmetricGraphLine_zero_diagonal_disjoint,0.680148,0.6454009,0.034747124,0.0
ten-proofs,symplecticAutomorphism_incidence_iff,0.63322693,0.71938705,-0.08616012,0.0
ten-proofs,symplecticLineDualCoordinates_apply,0.6329673,0.666403,-0.033435702,0.013799364848142195
ten-proofs,symplecticLineNormalizer_apply_left,0.64521587,0.7066933,-0.061477423,0.0
ten-proofs,symplecticLineNormalizer_map_right,0.62587416,0.6996295,-0.073755324,0.010164551593375608
ten-proofs,symmetricGraphLine_det_ne_zero_of_disjoint_horizontal,0.62948376,0.7106055,-0.08112174,0.0103577029372166
ten-proofs,symplecticAutomorphism_disjoint_iff,0.66912735,0.75796974,-0.08884239,0.028500959673094604
ten-proofs,symplecticLine_no_three_common_centers,0.59861344,0.6897185,-0.091105044,1.42897855850462
ten-proofs,familyExtremal_real_le_of_forall_free,0.6298637,0.7248653,-0.09500164,0.1987068578928862
ten-proofs,proposedFamily_not_compact,0.7075713,0.6897445,0.017826855,0.0
ten-proofs,jTemplate_connected,0.7090748,0.72697353,-0.017898738,0.0
ten-proofs,kTemplate_connected,0.7021629,0.72697353,-0.024810612,0.0
ten-proofs,quotientGraph_connected_of_colorRespecting,0.62253433,0.7066933,-0.08415896,0.007453998261501668
ten-proofs,proposedFamily_member_connected,0.64036787,0.717107,-0.07673913,0.014682158969781926
ten-proofs,encodedKQuotient_isBipartite,0.6077786,0.7026619,-0.09488326,0.013931628026795281
ten-proofs,proposedFamily_member_isBipartite,0.6351635,0.7102793,-0.0751158,0.014297050363667324
ten-proofs,compactnessSharpHostPowerConstant_pos,0.6897727,0.7021345,-0.012361765,0.07391529437645948
ten-proofs,quantitativeCompactnessCounterexample,0.55604434,0.6935378,-0.13749343,1.346057176636426
ten-proofs,log_le_tangent,0.7638549,0.7512659,0.012589037,0.0
ten-proofs,entropyTangentZeroCoefficient_eq,0.63375473,0.62876713,0.0049875975,0.1462677330864015
ten-proofs,entropyTangentOneCoefficient_eq,0.61879575,0.62876713,-0.00997138,0.1641390820626438
ten-proofs,entropyTangentLog_constant,0.6170207,0.75646657,-0.13944584,0.008467165468064747
ten-proofs,binaryCoinMass_nonneg,0.6998082,0.7768618,-0.07705361,0.01723560254577303
ten-proofs,independentBinaryPairMass_sum,0.69399035,0.71892595,-0.024935603,0.0
ten-proofs,bitDisagreementProbability_mem_Icc,0.6420844,0.7306336,-0.0885492,0.22574895205580214
ten-proofs,withoutReplacementBinaryPairMass_nonneg,0.6557538,0.7561174,-0.10036361,0.0
ten-proofs,withoutReplacementBinaryPairExpectation_nonneg,0.6490105,0.7306336,-0.08162314,0.08751512074872328
ten-proofs,binomialProbabilityMass_succ_mul,0.67336214,0.78282815,-0.10946602,0.5925500487481478
ten-proofs,binomialProbabilityMass_le_succ_of_lt_mode,0.6700821,0.78282815,-0.11274606,0.3474465780557055
ten-proofs,binomialProbabilityMass_mode_mul_exp_entropy,0.6191789,0.78282815,-0.16364926,0.2268174027760821
ten-proofs,sqrt_three_pos,0.79153675,0.81578094,-0.02424419,0.0
ten-proofs,tau_complement,0.7171252,0.7735978,-0.0564726,0.04153063411575477
ten-proofs,tau_reciprocal_identity,0.723406,0.84329635,-0.11989033,0.03049409663230449
ten-proofs,midpointBeta_gt_lower_unconditional,0.65186787,0.7278081,-0.07594025,0.0
ten-proofs,entropyLowerEndpoint_pos,0.75121546,0.7741812,-0.02296573,0.0
ten-proofs,pairLayer_reaches_base,0.5899674,0.7248653,-0.13489789,0.28071042444472344
ten-proofs,pairGraphOverFin_isBipartite,0.62819517,0.694469,-0.06627381,0.01973128731429329
ten-proofs,booleanWordOnes_card_equiv,0.6648773,0.70396566,-0.03908837,0.12669162396244407
ten-proofs,pairTypeCountProfile_card,0.6658871,0.6606374,0.0052497387,0.02422571999164488
ten-proofs,pairCoordinateClassificationFiber_card,0.61088806,0.6935378,-0.08264971,0.03564590080551555
ten-proofs,pairChildClassificationOnes_card,0.57710373,0.6935378,-0.11643404,0.4982718079981436
ten-proofs,pairParentCoordinateSupport_card_add,0.6364898,0.6935378,-0.057047963,0.30973643819388885
ten-proofs,pairTypeGroup_homogeneous_card,0.59151304,0.6935378,-0.102024734,0.0902318709413254
ten-proofs,pairCoordinateKernel_empiricalChildMarginal,0.53674394,0.6996179,-0.16287398,1.2343299406684287
ten-proofs,pairCoordinatePairMismatchCount_sum_mixed,0.58654255,0.6935378,-0.106995225,0.26594863318187323
ten-proofs,pairCoordinateConditionalEntropy_empirical_bound,0.5036603,0.7306336,-0.2269733,2.3397902518425124
ten-proofs,pairCoordinateConditionalEntropy_mass,0.5266284,0.78282815,-0.25619978,1.7051950324658656
ten-proofs,pairChildGroup_choose_product_entropy_bound,0.5337975,0.78282815,-0.24903065,1.511263507565443
ten-proofs,hammingRetentionProbability_mul_wordCount_eq_exp,0.6457435,0.73267823,-0.086934745,0.009297636127543665
ten-proofs,hammingRetentionProbability_sq_mul_wordCount_eq_exp,0.6434158,0.6781168,-0.03470099,0.017871348976242273
ten-proofs,hammingRetentionMeasure_memLp_two,0.61642736,0.819862,-0.20343465,0.010874298690810033
ten-proofs,hammingRetentionMeasure_integral_eq_sum,0.66684353,0.78287,-0.11602646,0.02463633408015066
ten-proofs,hammingRetentionMeasure_real_contains_pair,0.59613276,0.6996179,-0.10348517,0.30534138551587087
ten-proofs,hammingExpectedRetainedVertexSquare_eq,0.6266061,0.78282815,-0.15622205,0.3841939485100967
ten-proofs,hammingRetainedVertexCount_variance_eq,0.6262629,0.78282815,-0.15656525,0.021622911452560276
ten-proofs,hammingExpectedRetainedEdgeCount_eq,0.6332158,0.7248653,-0.09164953,0.37380765635257296
ten-proofs,hammingExpectedRetainedEdgeSquare_le_endpoint_decomposition,0.59813577,0.67841804,-0.08028227,2.0056956450064876
ten-proofs,hammingRetainedEdgeCount_eq_wordEdges_card,0.6456847,0.68763834,-0.041953623,0.0
ten-proofs,hammingRetainedEdgeCount_lower_tail_probability_le,0.6184964,0.67841804,-0.059921622,0.42564749385366557
ten-proofs,retainedHammingHost_edgeFinset_card,0.67741495,0.68763834,-0.010223389,0.0
